,0
0,35.99999999999992
1,136.84766767874217
2,296.69320125720947
3,510.01412037300014
4,772.0513430874043
5,1078.744472226932
6,1426.7366926736406
7,1812.6675356511753
8,2233.3727540578043
9,2685.8043426935938
10,3166.936055196312
11,3675.1613025955908
12,4208.53860940859
13,4765.242835481243
14,5343.92482336962
15,5942.726975727627
16,6560.047215455837
17,7194.019137193586
18,7842.726519732815
19,8504.818571438194
20,9178.97286752109
21,9865.528815614562
22,10563.078432292918
23,11269.816680659995
24,11984.981220158837
25,12709.372704179683
26,13442.042462070689
27,14182.327768162642
28,14929.838228657407
29,15684.421719244945
30,16446.32134284577
31,17216.27846765553
32,17991.569831247747
33,18772.57978286274
34,19559.54148452819
35,20352.85493599896
36,21152.832830149127
37,21959.756296292748
38,22774.184594118306
39,23595.92342208234
40,24424.941603409945
41,25261.316224305978
42,26105.007788988452
43,26955.851496813328
44,27813.738001855636
45,28679.343590171055
46,29552.942163944717
47,30435.145672606217
48,31325.472589214954
49,32223.84887990249
50,33129.428450959225
51,34042.66520591217
52,34964.2217410188
53,35895.344142319016
54,36835.94789355971
55,37785.92580918463
56,38745.17225498155
57,39713.57322875202
58,40690.876764883105
59,41676.91777213014
60,42670.84307061069
61,43671.6458683028
62,44678.683636374095
63,45690.83039256117
64,46707.243037086664
65,47727.85864240187
66,48752.63554599417
67,49782.0012958419
68,50816.35428377152
69,51855.12906164801
70,52895.57240916453
71,53936.65335410982
72,54977.36065166023
73,56025.14848860141
74,57079.534359110155
75,58138.986353872024
76,59202.74598634035
77,60262.6050655832
78,61317.716832638434
79,62367.88178967233
80,63412.78699307621
81,64450.607952347156
82,65480.74382511732
83,66502.94598041111
84,67517.54646162943
85,68525.23774679107
86,69525.39856767007
87,70518.87182621434
88,71510.5689124904
89,72500.18992399474
90,73496.85488706389
91,74501.95454199756
92,75512.69973781725
93,76529.08637563894
94,77553.40886688688
95,78586.06097226164
96,79624.61780533043
97,80659.35428378536
98,81690.83581843734
99,82718.09648031666
100,83740.08532801506
101,84755.676237289
102,85764.38706432979
103,86765.8515055685
104,87760.2569660969
105,88747.1104198206
106,89725.80784114207
107,90706.04656667204
108,91686.78824269652
109,92666.892255411
110,93647.61783998222
111,94627.47997044155
112,95606.06921962835
113,96581.55670432898
114,97551.97820452727
115,98514.47311098654
116,99468.71430888644
117,100410.86490973161
118,101340.2861975403
119,102256.59911663976
120,103160.35791728359
121,104049.53857671708
122,104923.62432500329
123,105784.44302110163
124,106631.03922787923
125,107463.62360880025
126,108279.57984488673
127,109077.4551775335
128,109868.59333370133
129,110640.6230899966
130,111393.80170148634
131,112127.38274851558
132,112839.37005856218
133,113530.07297877932
134,114199.82743910306
135,114848.73814312158
136,115483.95445142647
137,116106.71558069665
138,116716.26726104414
139,117330.77150190549
140,117952.18933574428
141,118578.95615551522
142,119212.44447303013
143,119852.5387490798
144,120499.85380026016
145,121152.82470838209
146,121809.91720136022
147,122472.08171892914
148,123139.06279193173
149,123811.08556877515
150,124487.28988125702
151,125170.40435324838
152,125849.72222620006
153,126526.34262407587
154,127196.48412239016
155,127858.92011511866
156,128515.8826165743
157,129167.37556137628
158,129813.21245432811
159,130452.72373631352
160,131084.23068943212
161,131712.49043408106
162,132336.42659150565
163,132955.82043693203
164,133571.67318560288
165,134184.86001468642
166,134795.59346432457
167,135403.43199498302
168,136010.155652424
169,136615.2562388745
170,137215.5117370349
171,137812.70254607312
172,138405.51499883097
173,138995.1355028213
174,139581.75136847692
175,140165.2764395495
176,140749.81304311322
177,141335.59314689966
178,141916.8591961538
179,142485.21636000564
180,143042.7851614925
181,143593.7199200892
182,144134.67532392204
183,144664.59344665802
184,145182.52403285747
185,145688.641327607
186,146183.11538000446
187,146669.9444577066
188,147148.20871728673
189,147619.4306689031
190,148084.4459105313
191,148539.07440161234
192,148986.06858985883
193,149426.17860009713
194,149860.07037972574
195,150290.70460174122
196,150716.2010541103
197,151136.62883430498
198,151551.34227365273
199,151963.7189140392
200,152365.6013433583
201,152756.03909825635
202,153139.80531871802
203,153511.74751034222
204,153873.96039671142
205,154222.67696620373
206,154559.4578269828
207,154885.6770095169
208,155202.48458138952
209,155515.4724956124
210,155816.66456212694
211,156107.69828728325
212,156389.79393828625
213,156663.57529565677
214,156929.29703305353
215,157194.05399548376
216,157460.12873576244
217,157727.0827553967
218,157991.09667458283
219,158246.96056851256
220,158494.7767179629
221,158735.25932377545
222,158966.16599839315
223,159191.95320504403
224,159411.5064947846
225,159622.07782126107
226,159824.79958693104
227,160020.06180067794
228,160207.21240937972
229,160396.43191078978
230,160583.56810093945
231,160767.6447708983
232,160948.62870169125
233,161139.3078594248
234,161341.27556732373
235,161553.44656708228
236,161775.66587885126
237,162009.98086338703
238,162256.80893876732
239,162506.72852991015
240,162773.69354299185
241,163048.92148095113
242,163333.23748509525
243,163627.89154143995
244,163944.030292974
245,164273.20454161314
246,164616.2550933361
247,164965.4252480583
248,165320.7209572181
249,165681.07524888954
250,166050.62798650324
251,166426.1926779234
252,166813.15634125788
253,167212.09153796692
254,167620.56298294922
255,168038.21518089445
256,168464.62442871206
257,168900.79883170998
258,169346.2310791478
259,169800.62936079188
260,170266.9608792722
261,170744.97936062244
262,171235.3132103339
263,171737.6163340562
264,172250.84525575687
265,172773.30506310944
266,173302.35859449397
267,173829.772062042
268,174353.42963621544
269,174860.7765157188
270,175351.88407896514
271,175828.43547850897
272,176291.39368756552
273,176742.20068928972
274,177181.1502460359
275,177604.73985161236
276,178012.3110142744
277,178405.2413455914
278,178783.86758458745
279,179147.24024643045
280,179495.36429323346
281,179846.53521714915
282,180204.8814540826
283,180574.66151949062
284,180962.17294992888
285,181366.37570848016
286,181794.88782242677
287,182237.1667460591
288,182690.96731272407
289,183158.29215340808
290,183638.7630245713
291,184147.20584521227
292,184681.3231268246
293,185238.0848837562
294,185814.81110583467
295,186413.04457346356
296,187031.30160656598
297,187666.36114778806
298,188323.51989713302
299,189000.92892645323
300,189695.1121887944
301,190402.5837208621
302,191120.3665752297
303,191849.64896443443
304,192584.75160509988
305,193324.01137802863
306,194066.33688477057
307,194809.09944582975
308,195546.89212870493
309,196280.45450932469
310,197004.32195053526
311,197719.2399789642
312,198424.6436466655
313,199121.36058806957
314,199806.57706080683
315,200477.81845358672
316,201132.05670038913
317,201766.22430676682
318,202379.6631044746
319,202971.99528719642
320,203541.29717188166
321,204086.40404002578
322,204606.57863541992
323,205104.16104893872
324,205581.86453875207
325,206041.39435905122
326,206484.2979922732
327,206912.55554385603
328,207329.14497173898
329,207743.17101685583
330,208153.50211828752
331,208561.52325050088
332,208965.56224732797
333,209369.19654588183
334,209772.05167437092
335,210172.14852079202
336,210575.5940637152
337,210982.5919061085
338,211393.98720819308
339,211809.46818085745
340,212225.52600376355
341,212639.4529549718
342,213048.3535862688
343,213457.30772294337
344,213859.1148777802
345,214253.22931856182
346,214638.29931220884
347,215007.10558010716
348,215356.74353402076
349,215682.39253633938
350,215986.37910806626
351,216295.2698114003
352,216631.8951009301
353,217001.5414879993
354,217401.53239514725
355,217833.63118255042
356,218295.71102815348
357,218789.5966018138
358,219282.21803242707
359,219762.71390652028
360,220264.47165485084
361,220785.33651436516
362,221324.60990312512
363,221875.1254558118
364,222432.53992789533
365,222997.16712679242
366,223571.00123106877
367,224149.87769462852
368,224742.99868110332
369,225348.81314850744
370,225962.7816972405
371,226598.88880051643
372,227226.33712573122
373,227846.98610804084
374,228459.08378618976
375,229060.86419371612
376,229645.3632072498
377,230208.3561355101
378,230749.4092409809
379,231269.78058132145
380,231775.84308562582
381,232266.46614772506
382,232742.6124737051
383,233202.98186268876
384,233642.6900181742
385,234061.6704685882
386,234469.54357992008
387,234866.0729434684
388,235248.76694111913
389,235621.5365186821
390,235970.58658134565
391,236318.2118318725
392,236664.29018033086
393,237009.27056365885
394,237357.9028761088
395,237709.38346045223
396,238063.83450644714
397,238417.2017800544
398,238769.4168402761
399,239126.47454755087
400,239498.69434791082
401,239885.40017829053
402,240284.0489909457
403,240695.9174683819
404,241119.74010680354
405,241553.5592085688
406,241993.78206849008
407,242443.28105982122
408,242901.25647800657
409,243367.07058477684
410,243835.58021213597
411,244306.16600006894
412,244780.62888155546
413,245261.88621087107
414,245751.14777378424
415,246253.02894426638
416,246769.546805482
417,247282.53885401646
418,247802.16651722282
419,248323.93180573764
420,248847.15734830473
421,249373.1456590991
422,249906.67166812008
423,250447.73303151364
424,250997.72888577182
425,251555.0110945609
426,252120.09133242437
427,252692.84002198238
428,253273.3075410066
429,253877.6876441482
430,254501.96597823003
431,255155.16545443636
432,255839.77068409612
433,256555.74359096665
434,257281.4456918862
435,258000.5342136772
436,258715.62113881594
437,259419.29497032345
438,260114.48018402944
439,260796.77701645595
440,261473.04459234054
441,262146.08897503355
442,262827.4105492956
443,263519.43113648536
444,264221.2338402194
445,264928.7395385376
446,265649.3621243742
447,266380.0493335091
448,267122.0069373347
449,267874.13730131387
450,268641.1269973981
451,269423.7471634743
452,270222.26519829594
453,271027.89535439207
454,271841.430272813
455,272664.2465480348
456,273496.85331082606
457,274337.7182471737
458,275189.2104992204
459,276056.04063603975
460,276935.38070684904
461,277828.9403513527
462,278742.55015839497
463,279682.7106214464
464,280636.40389497194
465,281602.0915108547
466,282552.814070679
467,283483.52068366524
468,284390.15791389975
469,285270.20268953027
470,286131.3631854065
471,286977.7031422631
472,287808.23587843904
473,288614.0406065913
474,289396.1866493024
475,290152.26716265193
476,290880.04584253835
477,291577.7229178957
478,292246.7022602901
479,292880.8483958057
480,293478.2051396362
481,294035.07503965066
482,294549.44486664137
483,295018.71021894616
484,295444.2369381172
485,295829.6015325945
486,296236.9290621505
487,296667.9802211532
488,297123.8610626971
489,297562.0698615678
490,297987.5677988739
491,298387.2029215514
492,298758.5805475457
493,299104.4859321169
494,299429.9983949414
495,299740.816302364
496,300034.3360727329
497,300312.78569331946
498,300577.5971500893
499,300867.7690410931
500,301188.9910174698
501,301536.3562465755
502,301915.76247004594
503,302314.919365105
504,302734.5870211257
505,303178.5650043841
506,303637.35975423676
507,304110.5111470512
508,304599.5758992071
509,305105.52147493546
510,305643.574077452
511,306205.5073832978
512,306803.65605655895
513,307434.183912426
514,308096.72555388807
515,308755.16684111574
516,309403.08083217614
517,310037.5089322876
518,310653.0169004271
519,311251.1203674909
520,311831.9462394652
521,312396.53990737424
522,312917.35761177464
523,313392.51316196745
524,313819.88192156586
525,314196.64496832696
526,314520.78353995515
527,314790.3421003735
528,315004.29323766095
529,315162.5106848619
530,315274.17738184327
531,315341.59634485404
532,315366.9181062366
533,315357.13154762227
534,315311.44922510313
535,315249.05139291246
536,315171.5617450029
537,315095.7915171315
538,315012.6007258464
539,314914.6768316445
540,314799.3700483167
541,314670.0790058104
542,314521.178303207
543,314351.39732569864
544,314192.74211497966
545,314046.2524208088
546,313911.87831956346
547,313764.19199557026
548,313598.09478284785
549,313416.466374206
550,313218.8452395809
551,313011.70595521695
552,312792.3227360556
553,312563.68234905537
554,312326.8005794081
555,312085.67416167463
556,311854.528283503
557,311635.13986647566
558,311414.49997359526
559,311195.7489414552
560,310933.7866380145
561,310621.74165815185
562,310260.41026251146
563,309845.95400771505
564,309382.562629926
565,308869.98524593725
566,308334.22683419124
567,307826.7249377758
568,307351.66274533106
569,306899.556282447
570,306499.8245249231
571,306145.1035100335
572,305803.878914252
573,305479.46198473626
574,305179.54864351824
575,304902.9576874806
576,304650.7235297331
577,304419.32798664307
578,304211.72839012207
579,304013.151910835
580,303812.97877931164
581,303609.3260526292
582,303385.7021771032
583,303160.9194300311
584,302982.9185517013
585,302845.1265115993
586,302749.47094467765
587,302690.68601308967
588,302658.8816441825
589,302658.2212758602
590,302691.87393132807
591,302768.51674915827
592,302872.0642454273
593,303001.4683491916
594,303154.9025573654
595,303330.9511177277
596,303524.45443916286
597,303737.5959008821
598,303961.21437236055
599,304193.5451048931
600,304450.6227661326
601,304727.06094296824
602,305012.37147282023
603,305305.8461990093
604,305616.24621188483
605,305944.50127290527
606,306294.8845010387
607,306657.74541745527
608,307035.1006885923
609,307430.4894305079
610,307846.9875958358
611,308301.2333264514
612,308789.74213741533
613,309313.36478295916
614,309873.15235385677
615,310463.3064956972
616,311083.1962455636
617,311739.2143995713
618,312431.4313353197
