,0
799,10
800,1
801,1
802,1
803,1
804,12
805,1
806,1
807,10
808,1
809,1
810,1
811,1
812,2
813,1
814,1
815,3
816,1
817,2
818,3
819,4
820,3
821,3
822,4
823,3
824,3
825,4
826,3
827,3
828,4
829,3
830,3
831,1
832,2
833,3
834,3
835,4
836,3
837,10
838,3
839,1
840,1
841,1
842,1
843,2
844,1
845,1
846,1
847,72
848,3
849,9
850,9
851,7
852,2
853,8
854,4
855,1
856,6
857,2
858,3
859,3
860,4
861,10
862,2
863,3
864,1
865,3
866,1
867,1
868,1
869,4
870,3
871,1
872,2
873,8
874,1
875,3
876,2
877,3
878,1
879,3
880,1
881,4
882,1
883,4
884,1
885,1
886,1
887,1
888,1
889,4
890,7
891,3
892,1
893,1
894,3
895,1
896,4
897,1
898,2
899,2
900,1
901,2
902,5
903,2
904,2
905,1
906,3
907,1
908,3
909,2
910,2
911,1
912,1
913,7
914,1
915,2
916,1
917,1
918,1
919,4
920,1
921,1
922,1
923,3
924,1
925,1
926,1
927,4
928,4
929,3
930,3
931,1
932,1
933,1
934,3
935,1
936,1
937,1
938,1
939,2
940,1
941,1
942,1
943,2
944,2
945,1
946,3
947,1
948,2
949,1
950,1
951,2
952,1
953,1
954,1
955,1
956,7
957,1
958,4
959,1
960,2
961,5
962,2
963,1
964,1
965,3
966,1
967,1
968,1
969,1
970,2
971,3
972,1
973,1
974,1
975,1
976,2
977,1
978,6
979,3
980,2
981,3
982,1
983,3
984,1
985,1
986,1
987,4
988,1
989,2
990,1
991,1
992,1
993,4
994,1
995,1
996,3
997,2
998,1
999,2
1000,3
1001,1
1002,3
1003,2
1004,3
1005,5
1006,2
1007,1
1008,2
1009,2
1010,1
1011,4
1012,3
1013,3
1014,1
1015,1
1016,1
1017,1
1018,2
1019,3
1020,2
1021,3
1022,1
1023,1
1024,3
1025,1
1026,1
1027,5
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,3
1036,1
1037,4
1038,1
1039,1
1040,2
1041,1
1042,1
1043,2
1044,6
1045,2
1046,3
1047,1
1048,3
1049,3
1050,1
1051,4
1052,1
1053,4
1054,3
1055,1
1056,1
1057,2
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,2
1065,1
1066,3
1067,1
1068,1
1069,2
1070,4
1071,2
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,2
1079,1
1080,3
1081,1
1082,1
1083,2
1084,3
1085,1
1086,2
1087,2
1088,1
1089,2
1090,2
1091,1
1092,1
1093,3
1094,1
1095,4
1096,2
1097,2
1098,1
1099,1
1100,3
1101,1
1102,1
1103,1
1104,2
1105,1
1106,1
1107,1
1108,2
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,2
1118,2
1119,1
1120,2
1121,1
1122,2
1123,2
1124,1
1125,1
1126,3
1127,4
1128,1
1129,2
1130,4
1131,3
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,2
1141,1
1142,1
1143,2
1144,1
1145,1
1146,1
1147,1
1148,1
1149,2
1150,1
1151,1
1152,1
1153,2
1154,2
1155,3
1156,5
1157,1
1158,3
1159,2
1160,4
1161,4
1162,1
1163,2
1164,2
1165,1
1166,6
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,1
1179,2
1180,1
1181,7
1182,1
1183,1
1184,1
1185,2
1186,2
1187,2
1188,4
1189,2
1190,1
1191,2
1192,1
1193,1
1194,1
1195,2
1196,2
1197,1
1198,5
1199,1
1200,3
1201,1
1202,2
1203,1
1204,1
1205,5
1206,1
1207,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,2
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,3
1231,1
1232,3
1233,3
1234,3
1235,1
1236,3
1237,2
1238,1
1239,1
1240,1
1241,3
1242,1
1243,1
1244,1
1245,3
1246,1
1247,1
1248,1
1249,3
1250,3
1251,2
1252,2
1253,2
1254,1
1255,1
1256,4
1257,1
1258,1
1259,4
1260,1
1261,1
1262,1
1263,1
1264,2
1265,3
1266,1
1267,1
1268,1
1269,1
1270,3
1271,1
1272,1
1273,1
1274,2
1275,1
1276,1
1277,1
1278,1
1279,5
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,2
1287,2
1288,2
1289,3
1290,6
1291,1
1292,1
1293,1
1294,1
1295,1
1296,2
1297,1
1298,1
1299,6
1300,1
1301,1
1302,2
1303,1
1304,1
1305,1
1306,2
1307,1
1308,1
1309,6
1310,1
1311,1
1312,1
1313,1
1314,1
1315,3
1316,1
1317,1
1318,2
1319,1
1320,1
1321,1
1322,2
1323,2
1324,1
1325,1
1326,1
1327,8
1328,1
1329,1
1330,1
1331,1
1332,3
1333,1
1334,2
1335,3
1336,1
1337,3
1338,5
1339,1
1340,4
1341,1
1342,1
1343,2
1344,2
1345,2
1346,2
1347,1
1348,1
1349,1
1350,1
1351,8
1352,3
1353,2
1354,1
1355,1
1356,1
1357,1
1358,4
1359,3
1360,4
1361,3
1362,1
1363,1
1364,1
1365,2
1366,4
1367,1
1368,2
1369,2
1370,1
1371,1
1372,1
1373,1
1374,1
1375,1
1376,2
1377,3
1378,1
1379,1
1380,1
1381,7
1382,3
1383,4
1384,3
1385,2
1386,1
1387,1
1388,1
1389,3
1390,1
1391,1
1392,1
1393,4
1394,1
1395,1
1396,4
1397,1
1398,1
1399,1
1400,1
1401,1
1402,4
1403,2
1404,9
1405,4
1406,1
1407,9
1408,4
1409,1
1410,1
1411,1
1412,1
1413,1
1414,9
1415,1
1416,4
1417,2
1418,9
1419,4
1420,1
1421,9
1422,4
1423,9
1424,1
1425,5
1426,1
1427,9
1428,1
1429,4
1430,2
1431,3
1432,1
1433,1
1434,1
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1441,8
1442,2
1443,1
1444,4
1445,4
1446,1
1447,2
1448,4
1449,4
1450,1
1451,1
1452,1
1453,2
1454,2
1455,3
1456,6
1457,4
1458,10
1459,1
1460,1
1461,9
1462,5
1463,1
1464,7
1465,1
1466,5
1467,1
1468,3
1469,3
1470,4
1471,2
1472,3
1473,1
1474,1
1475,2
1476,1
1477,1
1478,1
1479,1
1480,1
1481,1
1482,9
1483,1
1484,4
1485,1
1486,3
1487,3
1488,1
1489,5
1490,1
1491,9
1492,2
1493,8
1494,1
1495,4
1496,9
1497,2
1498,4
1499,1
1500,9
1501,1
1502,5
1503,2
1504,7
1505,4
1506,1
1507,4
1508,1
1509,4
1510,9
1511,2
1512,4
1513,1
1514,7
1515,1
1516,5
1517,2
1518,1
1519,5
1520,4
1521,9
1522,1
1523,6
1524,9
1525,2
1526,4
1527,1
1528,1
1529,5
1530,1
1531,5
1532,9
1533,2
1534,9
1535,2
1536,5
1537,6
1538,2
1539,3
1540,10
1541,5
1542,2
1543,9
1544,4
1545,9
1546,2
1547,3
1548,9
1549,1
1550,3
1551,2
1552,9
1553,5
1554,2
1555,9
1556,3
1557,9
1558,5
1559,5
1560,1
1561,2
1562,4
1563,2
1564,9
1565,5
1566,13
1567,15
1568,15
1569,15
1570,32
1571,150
1572,3
1573,10
1574,1
1575,6
1576,10
1577,5
1578,11
1579,2
1580,5
1581,2
1582,10
1583,2
1584,2
1585,2
1586,9
1587,4
1588,10
1589,6
1590,1
1591,11
1592,2
1593,4
1594,2
1595,8
1596,2
1597,1
1598,2
1599,6
1600,4
1601,1
1602,10
1603,2
1604,5
1605,2
1606,2
1607,3
1608,2
1609,4
1610,2
1611,5
1612,3
1613,5
1614,10
1615,2
1616,6
1617,1
1618,11
1619,1
1620,5
1621,2
1622,1
1623,6
1624,1
1625,3
1626,11
1627,6
1628,1
1629,10
1630,1
1631,3
1632,2
1633,4
1634,3
1635,1
1636,5
1637,1
1638,10
1639,5
1640,10
1641,3
1642,3
1643,11
1644,2
1645,2
1646,2
1647,9
1648,1
1649,6
1650,11
1651,6
1652,1
1653,9
1654,2
1655,5
1656,2
1657,3
1658,2
1659,1
1660,6
1661,2
1662,10
1663,5
1664,11
1665,2
1666,1
1667,1
1668,10
1669,2
1670,4
1671,2
1672,10
1673,1
1674,4
1675,11
1676,5
1677,1
1678,10
1679,5
1680,2
1681,2
1682,6
1683,1
1684,6
1685,10
1686,5
1687,2
1688,6
1689,2
1690,3
1691,2
1692,9
1693,2
1694,5
1695,2
1696,11
1697,5
1698,10
1699,3
1700,1
1701,11
1702,4
1703,2
1704,11
1705,1
1706,6
1707,7
1708,5
1709,4
1710,4
1711,2
1712,5
1713,1
1714,7
1715,2
1716,5
1717,2
1718,11
1719,5
1720,10
1721,2
1722,1
1723,1
1724,11
1725,2
1726,5
1727,2
1728,10
1729,1
1730,6
1731,3
1732,3
1733,4
1734,6
1735,2
1736,2
1737,5
1738,2
1739,2
1740,48
1741,15
1742,3
1743,46
1744,15
1745,3
1746,64
1747,3
1748,21
1749,59
1750,6
1751,1
1752,1
1753,1
1754,1
1755,11
1756,15
1757,3
1758,1
1759,2
1760,2
1761,1
1762,3
1763,7
1764,2
1765,2
1766,1
1767,1
1768,1
1769,1
1770,15
1771,3
1772,3
1773,2
1774,1
1775,1
1776,1
1777,4
1778,6
1779,15
1780,3
1781,1
1782,2
1783,1
1784,5
1785,1
1786,1
1787,1
1788,4
1789,1
1790,5
1791,1
1792,1
1793,2
1794,4
1795,1
1796,2
1797,1
1798,2
1799,1
1800,1
1801,1
1802,1
1803,11
1804,7
1805,3
1806,3
1807,1
1808,2
1809,1
1810,11
1811,2
1812,2
1813,1
1814,1
1815,1
1816,3
1817,7
1818,8
1819,1
1820,1
1821,1
1822,3
1823,6
1824,3
1825,7
1826,1
1827,1
1828,1
1829,2
1830,1
1831,3
1832,7
1833,3
1834,1
1835,1
1836,1
1837,4
1838,7
1839,5
1840,3
1841,1
1842,1
1843,2
1844,1
1845,1
1846,4
1847,7
1848,2
1849,1
1850,1
1851,10
1852,1
1853,4
1854,2
1855,2
1856,1
1857,1
1858,1
1859,2
1860,1
1861,1
1862,10
1863,1
1864,3
1865,1
1866,1
1867,2
1868,1
1869,2
1870,5
1871,7
1872,1
1873,1
1874,1
1875,2
1876,7
1877,2
1878,5
1879,1
1880,1
1881,1
1882,1
1883,6
1884,2
1885,7
1886,1
1887,1
1888,1
1889,1
1890,2
1891,2
1892,1
1893,1
1894,1
1895,1
1896,2
1897,6
1898,2
1899,2
1900,1
1901,3
1902,1
1903,2
1904,1
1905,10
1906,1
1907,2
1908,1
1909,1
1910,1
1911,7
1912,1
1913,1
1914,6
1915,1
1916,2
1917,1
1918,1
1919,5
